,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,-507.84204511455226,5.491839727159189,-92.47211687607789,0.0,-518.6072305429947,-497.0768596861098
TotalAllowed,1.000153880939415,0.0001200751031616131,8329.402637225092,0.0,0.9999185079469219,1.0003892539319081
