Group_1,Group_2,Cohen_d
5,5,0.0
5,20,-0.0037120393290834435
5,22,-0.07586033773548355
5,89,0.06122117299392224
5,29,0.009155437887709538
5,84,-0.07054775975433043
5,74,0.06394961028744744
5,33,0.007805669808781705
5,17,0.03711189112134196
5,88,0.06106980660963175
5,23,0.07412819905921256
5,13,0.0706791571333238
5,90,0.08868952348291335
5,18,-0.050220079701928315
5,76,-0.23433523259640943
5,32,0.037399974791426545
5,27,0.6967136341680364
20,5,0.0037120393290834435
20,20,0.0
20,22,-0.07336737106546097
20,89,0.06458055184288164
20,29,0.012913422568162847
20,84,-0.0675888237505868
20,74,0.06792440430830174
20,33,0.011557190889194989
20,17,0.04100105384394368
20,88,0.06498391499964548
20,23,0.07790979247037198
20,13,0.07476214361493021
20,90,0.09207728480761285
20,18,-0.04704523944157858
20,76,-0.2330091567701759
20,32,0.04152016561184809
20,27,0.7075504080290198
22,5,0.07586033773548355
22,20,0.07336737106546097
22,22,0.0
22,89,0.14284317895450308
22,29,0.08679263153567675
22,84,0.0056858059416096075
22,74,0.140803779748732
22,33,0.0838395385752709
22,17,0.11354450875574827
22,88,0.13866810060165555
22,23,0.15304290655086428
22,13,0.14583147819892417
22,90,0.17105541979097677
22,18,0.024569507400265096
22,76,-0.14331396053672346
22,32,0.10354159366172926
22,27,0.7011453082156847
89,5,-0.06122117299392224
89,20,-0.06458055184288164
89,22,-0.14284317895450308
89,89,0.0
89,29,-0.05218537703302983
89,84,-0.13591573348765018
89,74,0.004614734516987945
89,33,-0.052488078267741
89,17,-0.022592658579526692
89,88,0.0014690777304222982
89,23,0.014830601085400996
89,13,0.011870684787220972
89,90,0.02937554504797421
89,18,-0.11598491417732015
89,76,-0.31247492298445817
89,32,-0.022910381436590365
89,27,0.6796116305758307
29,5,-0.009155437887709538
29,20,-0.012913422568162847
29,22,-0.08679263153567675
29,89,0.05218537703302983
29,29,0.0
29,84,-0.08096654995103006
29,74,0.055751805564671526
29,33,-0.0012322431600958123
29,17,0.028288494721699996
29,88,0.052857054996441784
29,23,0.06585194168287942
29,13,0.06276837977988749
29,90,0.08042956045901721
29,18,-0.06057537636387289
29,76,-0.24901284392811796
29,32,0.02902100872874309
29,27,0.7036302680709283
84,5,0.07054775975433043
84,20,0.0675888237505868
84,22,-0.0056858059416096075
84,89,0.13591573348765018
84,29,0.08096654995103006
84,84,0.0
84,74,0.13572290656761674
84,33,0.07831953406204265
84,17,0.10799178718462922
84,88,0.13324198068569207
84,23,0.14685172634902496
84,13,0.14216069292596584
84,90,0.16318036671150984
84,18,0.020279146120077633
84,76,-0.16176706227628015
84,32,0.10696351069042893
84,27,0.7594189705614001
74,5,-0.06394961028744744
74,20,-0.06792440430830174
74,22,-0.140803779748732
74,89,-0.004614734516987945
74,29,-0.055751805564671526
74,84,-0.13572290656761674
74,74,0.0
74,33,-0.05569016732249321
74,17,-0.026532117221853255
74,88,-0.003163212042091668
74,23,0.01012297667663409
74,13,0.007214923935900398
74,90,0.02480715918105105
74,18,-0.11786629541667541
74,76,-0.31313132285456347
74,32,-0.02711880806431255
74,27,0.6670551130702566
33,5,-0.007805669808781705
33,20,-0.011557190889194989
33,22,-0.0838395385752709
33,89,0.052488078267741
33,29,0.0012322431600958123
33,84,-0.07831953406204265
33,74,0.05569016732249321
33,33,0.0
33,17,0.02921980704371583
33,88,0.052750524840370044
33,23,0.06563428146402146
33,13,0.06240508427790311
33,90,0.07968762102604712
33,18,-0.05794514163808085
33,76,-0.2416158480568323
33,32,0.029529172239949362
33,27,0.6873302374862018
17,5,-0.03711189112134196
17,20,-0.04100105384394368
17,22,-0.11354450875574827
17,89,0.022592658579526692
17,29,-0.028288494721699996
17,84,-0.10799178718462922
17,74,0.026532117221853255
17,33,-0.02921980704371583
17,17,0.0
17,88,0.023560694999036853
17,23,0.03638434809459523
17,13,0.03334647255131261
17,90,0.050335207828082325
17,18,-0.08762776906860889
17,76,-0.27258859901454924
17,32,0.0004147235848025749
17,27,0.662696609810817
88,5,-0.06106980660963175
88,20,-0.06498391499964548
88,22,-0.13866810060165555
88,89,-0.0014690777304222982
88,29,-0.052857054996441784
88,84,-0.13324198068569207
88,74,0.003163212042091668
88,33,-0.052750524840370044
88,17,-0.023560694999036853
88,88,0.0
88,23,0.013380578377307255
88,13,0.010680344212956112
88,90,0.028398906556598803
88,18,-0.11737412670158992
88,76,-0.32238611479042806
88,32,-0.024890620106688317
88,27,0.6980488692100433
23,5,-0.07412819905921256
23,20,-0.07790979247037198
23,22,-0.15304290655086428
23,89,-0.014830601085400996
23,29,-0.06585194168287942
23,84,-0.14685172634902496
23,74,-0.01012297667663409
23,33,-0.06563428146402146
23,17,-0.03638434809459523
23,88,-0.013380578377307255
23,23,0.0
23,13,-0.0030161282576138056
23,90,0.01442023997246188
23,18,-0.1286854864090946
23,76,-0.32372990288220693
23,32,-0.037312500511735215
23,27,0.6576212450189278
13,5,-0.0706791571333238
13,20,-0.07476214361493021
13,22,-0.14583147819892417
13,89,-0.011870684787220972
13,29,-0.06276837977988749
13,84,-0.14216069292596584
13,74,-0.007214923935900398
13,33,-0.06240508427790311
13,17,-0.03334647255131261
13,88,-0.010680344212956112
13,23,0.0030161282576138056
13,13,0.0
13,90,0.017797101658430667
13,18,-0.12688328492251127
13,76,-0.33528148978413863
13,32,-0.03559624722155565
13,27,0.6931696137411554
90,5,-0.08868952348291335
90,20,-0.09207728480761285
90,22,-0.17105541979097677
90,89,-0.02937554504797421
90,29,-0.08042956045901721
90,84,-0.16318036671150984
90,74,-0.02480715918105105
90,33,-0.07968762102604712
90,17,-0.050335207828082325
90,88,-0.028398906556598803
90,23,-0.01442023997246188
90,13,-0.017797101658430667
90,90,0.0
90,18,-0.14687029391938963
90,76,-0.34914546897202375
90,32,-0.05317178389775921
90,27,0.6649804118580059
18,5,0.050220079701928315
18,20,0.04704523944157858
18,22,-0.024569507400265096
18,89,0.11598491417732015
18,29,0.06057537636387289
18,84,-0.020279146120077633
18,74,0.11786629541667541
18,33,0.05794514163808085
18,17,0.08762776906860889
18,88,0.11737412670158992
18,23,0.1286854864090946
18,13,0.12688328492251127
18,90,0.14687029391938963
18,18,0.0
18,76,-0.1825625564526653
18,32,0.08627214165718937
18,27,0.7414413206280387
76,5,0.23433523259640943
76,20,0.2330091567701759
76,22,0.14331396053672346
76,89,0.31247492298445817
76,29,0.24901284392811796
76,84,0.16176706227628015
76,74,0.31313132285456347
76,33,0.2416158480568323
76,17,0.27258859901454924
76,88,0.32238611479042806
76,23,0.32372990288220693
76,13,0.33528148978413863
76,90,0.34914546897202375
76,18,0.1825625564526653
76,76,0.0
76,32,0.2797486606793095
76,27,1.1588789991226591
32,5,-0.037399974791426545
32,20,-0.04152016561184809
32,22,-0.10354159366172926
32,89,0.022910381436590365
32,29,-0.02902100872874309
32,84,-0.10696351069042893
32,74,0.02711880806431255
32,33,-0.029529172239949362
32,17,-0.0004147235848025749
32,88,0.024890620106688317
32,23,0.037312500511735215
32,13,0.03559624722155565
32,90,0.05317178389775921
32,18,-0.08627214165718937
32,76,-0.2797486606793095
32,32,0.0
32,27,0.6916041977787518
27,5,-0.6967136341680364
27,20,-0.7075504080290198
27,22,-0.7011453082156847
27,89,-0.6796116305758307
27,29,-0.7036302680709283
27,84,-0.7594189705614001
27,74,-0.6670551130702566
27,33,-0.6873302374862018
27,17,-0.662696609810817
27,88,-0.6980488692100433
27,23,-0.6576212450189278
27,13,-0.6931696137411554
27,90,-0.6649804118580059
27,18,-0.7414413206280387
27,76,-1.1588789991226591
27,32,-0.6916041977787518
27,27,0.0
