,df,sum_sq,mean_sq,F,PR(>F)
C(Policy_HolderStatus),5.0,5078041801.174824,1015608360.2349647,1.6789234023780806,0.1359032095180966
Residual,9456.0,5720089815163.094,604916435.6136943,,
